Cow, MMM	59 75 87 67 89 71 70 55 74 64
Chungus, Big	93 96 94 87 92 100 91 90 85 81
Boy, Snotty	61 96 67 58 96 80 81 98 65 94
File, Petey	69 69 69 69 69 69 69 69 69 69
Coin, Doge	45 79 83 85 84 55 68 63 70 64
Ad, Grubhub	32 16 59 26 41 67 33 23 58 100
Mama, Yo	76 87 77 88 91 75 96 88 95 79
Brain, Bad Luck	100 100 100 100 100 100 100 100 100 -900
Gus, Among	60 75 67 69 62 64 65 61 68 63
Ducky, Robert	95 74 85 97 92 86 95 82 94 100
Bear, Ted D.	100 100 100 100 100 100 100 100 100 100
Jankins, Leeroy	75 84 63 96 86 62 73 100 100 100	
Scales, F. Green	0 0 0 0 0 0 0 0 0 0
The Earth's Flat	-100 -63 -52 -32 -46 -58 -47 -58 -48 0
Smash, Waluigi in	99 96 94 92 95 91 93 95 93 92
Cat, Grumpy	1 9 8 17 25 13 14 2 10 18 24
Advance, Play Boy	95 74 86 95 73 85 96 75 86 79
Yoda, Baby	100 100 95 96 92 100 90 94 95 92
Backwards, Say Tuna Sub	69 85 74 100 92 85 79 85 94 77
Freddy, Ready	62 73 84 71 94 62 74 83 82 75
Class limit, Over	100 100 100 100 100 100 100 100 100 100

